,Name,Released,Updated,Developer,Theme,Influences,Inferred_Roguelike_Influences,Inferred_Roguelikelike_Influences,Inferred_Other_Influences
0,ToeJam & Earl,1991-01-01,,Johnson Voorsanger Productions,Fantasy,[],"[""Rogue""]",[],"[""Streets of Rage"", ""Genesis"", ""Starflight"", ""Sonic the Hedgehog"", ""Mighty Morphin Power Rangers""]"
1,Diablo,1996-01-01,,Blizzard North,Fantasy,[],"[""Rogue"", ""Moria"", ""Telengard""]","[""Diablo III"", ""Diablo II""]","[""Hellfire"", ""World of Warcraft"", ""StarCraft"", ""Justice League Task Force"", ""Doom""]"
2,Diablo II,2000-01-01,,Blizzard Entertainment,Fantasy,[],"[""Rogue""]","[""Diablo"", ""Diablo III""]","[""StarCraft"", ""Baal"", ""World of Warcraft"", ""Paladin"", ""Necromancer""]"
3,Lost Labyrinth,2001-01-01,2011-01-01,Lost Labyrinth,Fantasy,[],[],"[""Rogue Legacy"", ""Diablo""]","[""Chrono Trigger"", ""Switch"", ""Bermuda Triangle"", ""Midnight"", ""Sokoban""]"
4,Strange Adventures In Infinite Space,2002-01-01,2004-01-01,"Rich Carlson, Iikka Keränen",Space science fiction,[],"[""Rogue"", ""NetHack""]",[],"[""Star Trek"", ""Dragon"", ""Bejeweled"", ""Tetris"", ""Search""]"
5,Weird Worlds: Return to Infinite Space,2005-01-01,2014-01-01,"Rich Carlson, Iikka Keränen",Space science fiction,[],[],[],"[""Doom"", ""Ripcord"", ""Memento Mori"", ""Inferno"", ""Gods""]"
6,Spelunky,2009-01-01,2012-01-01,"Derek Yu, Andy Hull",Fantasy,[],"[""Hack""]","[""Diablo""]","[""Braid"", ""Aquaria"", ""Super Meat Boy"", ""Eternal Daughter"", ""Dwarf Fortress""]"
7,The Binding of Isaac,2011-01-01,,"Edmund McMillen, Florian Himsl","Surrealistic, horror",[],"[""Rogue""]",[],"[""Super Meat Boy"", ""The Legend of Zelda"", ""NBA"", ""Satan"", ""Genesis""]"
8,FTL: Faster Than Light,2012-01-01,,Subset Games,Space science fiction,[],"[""Rogue""]","[""The Binding of Isaac"", ""Spelunky"", ""Diablo""]","[""Federation"", ""Star Wars"", ""Star Trek"", ""Battlestar Galactica"", ""Firefly""]"
9,Diablo III,2012-01-01,,Blizzard Entertainment,Fantasy,[],"[""Rogue""]","[""Diablo"", ""Diablo II""]","[""Necromancer"", ""World of Warcraft"", ""Heaven"", ""Bastion"", ""StarCraft""]"
10,Don't Starve,2013-01-01,,Klei Entertainment,Fantasy,[],[],"[""The Binding of Isaac"", ""Spelunky"", ""Rogue Legacy""]","[""Minecraft"", ""Willow"", ""Hamlet"", ""Switch"", ""Mark of the Ninja""]"
11,Rogue Legacy,2013-01-01,,Cellar Door Games,Fantasy,[],"[""Rogue""]","[""Spelunky"", ""The Binding of Isaac""]","[""Castlevania"", ""Rune"", ""Hermes"", ""Monster Hunter"", ""Traitor""]"
12,Risk of Rain,2013-01-01,,Hopoo Games,Sci-fi action,[],"[""Hack""]","[""The Binding of Isaac""]","[""Morse"", ""NBA"", ""Time"", ""Monsoon"", ""Arena""]"
13,Not the Robots,2013-01-01,,2DArray,Sci-fi action,[],[],[],"[""Not The Robots"", ""Domination"", ""Amazon"", ""Leaving"", ""King of the Hill""]"
14,TowerClimb,2013-01-01,2015-01-01,Davioware & Quazi,Fantasy action,[],[],"[""Spelunky""]","[""Resident Evil"", ""Meltdown"", ""Switch"", ""Guess""]"
15,99 Levels to Hell,2013-01-01,,ZaxisGames,Fantasy action,[],[],"[""Spelunky"", ""The Binding of Isaac""]","[""Amazon"", ""League of Legends"", ""Monster Hunter"", ""Jump"", ""Borderlands""]"
16,Delver,2013-01-01,,Priority Interrupt,Fantasy,[],[],[],"[""Post Mortem"", ""Syberia"", ""Quake"", ""Monster Hunter"", ""Circle of Blood""]"
17,Tower of Guns,2014-01-01,,Terrible Posture Games,Science fiction,[],"[""The Hunger Games"", ""Omega""]","[""The Binding of Isaac""]","[""Doom"", ""Borderlands"", ""NBA"", ""Image"", ""Crack""]"
18,Crypt of the Necrodancer,2014-01-01,,Brace Yourself Games,Fantasy,[],"[""NetHack"", ""Rogue""]","[""Spelunky"", ""Rogue Legacy"", ""The Binding of Isaac""]","[""Monster Hunter"", ""Crack"", ""Tempo"", ""Bomberman"", ""Dance Dance Revolution""]"
19,"Invisible, Inc.",2014-01-01,,Klei Entertainment,Espionage,[],[],[],"[""Memory"", ""Blade Runner"", ""Mark of the Ninja"", ""Stealth"", ""Anarchy""]"
20,TinyKeep,2014-01-01,,Phigames,Fantasy,[],"[""Hack""]","[""Diablo""]","[""Post Mortem"", ""Deadly Premonition"", ""Syberia"", ""Rust"", ""Circle of Blood""]"
21,Dungeon of the Endless,2014-01-01,,Amplitude Studios,Science fiction,[],"[""Pixel Dungeon"", ""ADOM"", ""Rouge""]",[],"[""Amplitude"", ""Endless Space"", ""They Bleed Pixels"", ""Switch"", ""Love""]"
22,The Binding of Isaac: Rebirth,2014-01-01,,Nicalis,Fantasy,[],"[""Rogue""]","[""The Binding of Isaac""]","[""Switch"", ""Super Meat Boy"", ""The Legend of Zelda"", ""Keeper"", ""Booster""]"
