Name,RogueTemple,Link,Released,Updated,Developer,Theme,Influences
100 Rogues,http://roguebasin.roguelikedevelopment.org/index.php?title=100 Rogues,http://www.100rogues.com/,2010/05/06,2010/05/06,Dinofarm Games,Fantasy,Rogue
1Quest,http://roguebasin.roguelikedevelopment.org/index.php?title=1Quest,http://www.ratzngodz.fr,2014/02/20,2015/02/07,Ratz 'N' Godz,Fantasy,"DCSS, Dominion 4"
3059,http://roguebasin.roguelikedevelopment.org/index.php?title=3059,https://sites.google.com/site/free3069/3059----the-beginning,2005/00/00,2005/06/11,Phr00t,"Science Fiction, Alien Planets, Futuristic",NetHack
3069,http://roguebasin.roguelikedevelopment.org/index.php?title=3069,http://sites.google.com/site/free3069/,2009/07/06,2009/10/06,Phr00t,"Science Fiction, Alien Planets, Futuristic",3059
3079,http://roguebasin.roguelikedevelopment.org/index.php?title=3079,http://sites.google.com/site/3079game/,2011/10/25,2015/02/13,Phr00t,"Science Fiction, Alien Planets, Futuristic","3059, 3069, Fallout, Minecraft"
3089,http://roguebasin.roguelikedevelopment.org/index.php?title=3089,http://3089game.wordpress.com/,2013/02/02,2014/02/27,Phr00t,"Science Fiction, Alien Planets, Futuristic","3059, 3069, 3079, Borderlands"
7KBRLL,http://roguebasin.roguelikedevelopment.org/index.php?title=7KBRLL,https://sites.google.com/site/7kbrll,2014/07/11,2014/07/00,OMVTW,"humor, psychological","NetHack, Rogue"
ADOM,http://roguebasin.roguelikedevelopment.org/index.php?title=ADOM,http://www.adom.de/,1994/00/00,2018/05/02,Thomas Biskup,Fantasy,Hack
Advanced Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Advanced Rogue,http://rogue.rogueforge.net/,2005/00/00,2007/08/01,"Michael Morgan, Ken Dalka, Roguelike Restoration Project, others",,"Rogue, Super-Rogue"
AGB Hack,http://roguebasin.roguelikedevelopment.org/index.php?title=AGB Hack,http://www.freewebs.com/drussell/#GBA,2006/11/26,2006/11/26,Donnie Russell,,
AGB Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=AGB Rogue,http://www.freewebs.com/drussell/Download.htm,2007/00/00,2007/08/05,Donnie Russell,Fantasy,
Alphaman,http://roguebasin.roguelikedevelopment.org/index.php?title=Alphaman,,1995/00/00,1995/00/00,Jeffrey R. Olson,Post-Apocalyptic,
AMoria,http://roguebasin.roguelikedevelopment.org/index.php?title=AMoria,,1000/00/00,1000/00/00,,,Moria
Ananias,http://roguebasin.roguelikedevelopment.org/index.php?title=Ananias,http://ananiasgame.com,2014/05/14,2018/01/13,Slash,Fantasy,DoomRL
Angband,http://roguebasin.roguelikedevelopment.org/index.php?title=Angband,http://rephial.org/,1990/00/00,2017/12/22,"Alex Cutler, Andy Astrand, many others. Angband is currently maintained by Nick McConnell and the Angband devteam.",Fantasy,"Moria, Tolkien's Middle-Earth, D&D, Rolemaster"
Animeband,http://roguebasin.roguelikedevelopment.org/index.php?title=Anime Angband,http://angband.oook.cz/animeband/,2003/05/23,2006/11/22,Ernest Huang,Fantasy/Anime,Angband
Anoxic Depths,http://roguebasin.roguelikedevelopment.org/index.php?title=Anoxic Depths,http://roguelikeeducation.org/20.html,2015/03/15,2015/03/15,Tectorum,"Wilderness Survival, Underwater, SCUBA","Kunoichi, EmoSquid"
Anoxic Depths: Caves of the Yendori,http://roguebasin.roguelikedevelopment.org/index.php?title=Anoxic Depths: Caves of the Yendori,http://studiotectorum.com/anoxic-depths/,2015/06/03,2015/08/16,Studio Tectorum (Tectorum),"Underwater, SCUBA",Anoxic Depths
Avanor,http://roguebasin.roguelikedevelopment.org/index.php?title=Avanor,http://avanor.sourceforge.net//,2001/11/28,2006/05/30,Vadim Gaidukevich,Fantasy,Ancient Domains of Mystery
Backwards Gravity,http://roguebasin.roguelikedevelopment.org/index.php?title=Backwards Gravity,http://backwardsgravity.blogspot.com/,2009/03/14,1000/00/00,Elig,,
Battlement,http://roguebasin.roguelikedevelopment.org/index.php?title=Battlement,,2010/02/00,2010/02/00,Dathgale,Fantasy Warfare,"Castle of the Winds, Archon"
Block Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Block Rogue,http://www.blockrogue.com,2011/01/04,2011/01/04,"Buzz Monkey Software, LLC","Puzzle, Sokoban, Light","Sokoban, Adventures of Lolo"
Break Out Of Hareka's Underground,http://roguebasin.roguelikedevelopment.org/index.php?title=Boohu,https://download.tuxfamily.org/boohu/index.html,2017/09/16,2018/07/25,anaseto,Fantasy,Dungeon Crawl Stone Soup
BOSS,http://roguebasin.roguelikedevelopment.org/index.php?title=BOSS,https://web.archive.org/web/20130118205257/http://arcywidmo.republika.pl/boss/,1990/11/00,2012/10/12,"Robert Gulledge, Jason Black",Science Fiction,Moria
Brogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Brogue,http://sites.google.com/site/broguegame/,2009/11/27,2014/07/03,Brian Walker,Dungeon Crawl,Rogue
C: aft,http://roguebasin.roguelikedevelopment.org/index.php?title=C:\naft,https://smagac.github.io/,2017/10/02,2018/06/30,Nicholas Hydock,Fantasy,"Rogue, Monster Rancher, Atelier (series), Elona"
Café Havoc,http://roguebasin.roguelikedevelopment.org/index.php?title=Café Havoc,http://ondras.github.io/cafe-havoc/,2016/03/14,2016/03/14,Ondras,Internal,
CalcRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=CalcRogue,http://calcrogue.jimrandomh.org/,2005/00/00,2006/00/00,Jim Babcock,Fantasy,
Cardinal Quest,http://roguebasin.roguelikedevelopment.org/index.php?title=Cardinal Quest,http://www.cardinalquest.com,2010/10/26,2011/12/06,Ido,Arcade,"D&D, Gauntlet, Desktop Dungeons, Angband"
Cardinal Quest II,http://roguebasin.roguelikedevelopment.org/index.php?title=Cardinal Quest II,http://cardinalquest2.com,2014/03/19,2015/02/27,Randomnine,"Fantasy, Arcade","Cardinal Quest, Diablo II, Dark Souls"
Castle Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Castle Dungeon,http://www.amazon.com/gp/product/B0071BJX0Y,2012/01/24,2012/01/24,Golden Hammer Software,Fantasy,Rogue
Castle of the Winds,http://roguebasin.roguelikedevelopment.org/index.php?title=Castle of the Winds,http://www.exmsft.com/~ricks/,1989/00/00,1993/00/00,SaadaSoft,"Fantasy, Norse Mythology",
Cave of Epokothar,http://roguebasin.roguelikedevelopment.org/index.php?title=Cave of Epokothar,https://www.facebook.com/CaveOfEpokothar,2012/00/00,2012/02/11,redwood646,Fantasy,
Caverns of Xaskazien,http://roguebasin.roguelikedevelopment.org/index.php?title=Caverns of Xaskazien,http://www.codedread.com/games.php#COX,1995/00/00,2010/02/07,Jeff Sinasac,Fantasy,
Chasm Lords,http://roguebasin.roguelikedevelopment.org/index.php?title=Chasm Lords,https://chasmlords.com,2017/00/00,2018/00/00,Red Sky Forge,"Mythology, European","WoTMUD, Moria, DaoC"
ChessRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=ChessRogue,http://chessrogue.sourceforge.net/,2005/05/30,2007/10/20,Chris Morris,,Rogue
City of the Damned,http://roguebasin.roguelikedevelopment.org/index.php?title=City of the Damned,https://github.com/gwathlobal/CotD,2017/01/07,2018/08/05,Gwathlobal,Christian mythology,City of the Condemned
Classic Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=Classic Rogue,http://oryxdesignlab.com/rogue/,2013/00/00,2013/12/30,"Michael Toy, Glenn Wichman, Ken Arnold, Oryx Design Lab",Fantasy,"D&D, Colossal Cave Adventure"
ClassicRogue,http://roguebasin.roguelikedevelopment.org/index.php?title=ClassicRogue,http://oryxdesignlab.com/rogue/,2008/00/00,2008/10/01,Donnie Russell,Fantasy,Rogue
Cogmind,http://roguebasin.roguelikedevelopment.org/index.php?title=Cogmind,http://www.gridsagegames.com/cogmind/,2015/05/19,2018/05/08,Grid Sage Games (Kyzrati),Sci-Fi,Battletech
College Rogue,http://roguebasin.roguelikedevelopment.org/index.php?title=College Rogue,http://www.roguelikedevelopment.org/archive/index.php,1990/00/00,1000/00/00,Rick Rusch/R & K Development,fantasy,Rogue
CoreRL,http://roguebasin.roguelikedevelopment.org/index.php?title=CoreRL,http://www.roguelikeeducation.org/2.html,2013/10/24,2013/10/24,Tectorum,Fantasy,Monster Caves
Crossfire,http://roguebasin.roguelikedevelopment.org/index.php?title=Crossfire,http://crossfire.real-time.com/,1992/00/00,2014/04/05,"Frank Tore Johansen (original developer), Mark Wedel, Rick Tanner",Fantasy,"NetHack, Moria"
Crossword Dungeon,http://roguebasin.roguelikedevelopment.org/index.php?title=Crossword Dungeon,http://www.crossworddungeon.com,2012/10/23,2014/05/09,Ebyan Alvarez-Buylla (Nolithius),Fantasy,"Roguelikes, Crosswords"
CryptoRl,http://roguebasin.roguelikedevelopment.org/index.php?title=CryptoRl,http://randomtower.blogspot.it/2015/08/cryptorl-release-10_28.html,2015/04/28,2015/04/28,Gornova,Fantasy,
CryptoRl2,http://roguebasin.roguelikedevelopment.org/index.php?title=CryptoRl2,http://randomtower.blogspot.it/2016/04/cryptorl-version-10-is-out.html,2015/11/07,2016/04/04,Gornova,Fantasy,
CyberQuest,http://roguebasin.roguelikedevelopment.org/index.php?title=CyberQuest,,2014/03/14,2014/03/14,Badscribbler intothelabyrinthkeeper@gmail.com,"Cyber, Party Based","Older Console RPG, Dark Hersey, Splash of Bravely Default"
Darkfire RPG,http://roguebasin.roguelikedevelopment.org/index.php?title=Darkfire RPG,https://darkfire-rpg.com,2012/11/01,2017/09/07,User:Fiorel,Fantasy,"Crossfire, Daimonin, Final Fantasy, Final Fantasy 2, Diablo"
Dawn of the Dead Roguelike III,http://roguebasin.roguelikedevelopment.org/index.php?title=Dawn of the Dead Roguelike,http://blogs.gamefilia.com/erikadams/16-07-2010/34462/analisis-de-una-oda-al-frikismo-the-dawn-of-the-dead-iii,2009/00/00,2010/07/15,ErikAdams,Horror,DoomRL
Dead Man Walking,http://roguebasin.roguelikedevelopment.org/index.php?title=Dead Man Walking,http://www.caffeineoverdose.me/,2013/03/01,2013/09/01,Andrew Wright (aka roocey),Dark Fantasy,
Decker,http://roguebasin.roguelikedevelopment.org/index.php?title=Decker,https://web.archive.org/web/20110926115405/http://www10.caro.net/dsi/decker/,2002/00/00,2004/00/00,Shawn Overcash,Cyberpunk,Shadowrun
Deliantra,http://roguebasin.roguelikedevelopment.org/index.php?title=Deliantra,http://www.deliantra.net/,2006/05/30,2017/06/01,"The Deliantra Development Team, Marc Lehmann, Robin Redeker",Fantasy,"Nethack, Moria"
Demon's Sword,http://roguebasin.roguelikedevelopment.org/index.php?title=Demon's Sword,http://cannibalcat.itch.io/demons-sword,2016/00/00,2016/00/00,Cannibal Cat Software,Fantasy,"Telengard, DND"
Diablo,http://roguebasin.roguelikedevelopment.org/index.php?title=Diablo,http://www.blizzard.com/diablo/,1997/00/00,1997/00/00,Blizzard,Fantasy,"NetHack, Moria, Angband"
DND,http://roguebasin.roguelikedevelopment.org/index.php?title=DND,http://www.digital-eel.com/files/dndpage_files/DND.htm,1976/00/00,1000/00/00,Daniel M. Lawrence,Fantasy,D&D
Domain Country,http://roguebasin.roguelikedevelopment.org/index.php?title=Domain Country,http://dochamp.tripod.com/DomainCountry.htm,2000/08/19,2009/04/20,David Kinney,Educational,Rogue
"Doom, the Roguelike",http://roguebasin.roguelikedevelopment.org/index.php?title=DoomRL,http://doom.chaosforge.org/,2003/00/00,2013/03/13,Kornel Kisielewicz,Gore,Doom
Dragonslayer,http://roguebasin.roguelikedevelopment.org/index.php?title=Dragonslayer,http://www.astrolog.org/labyrnth/daedalus/dragon.htm,2003/04/19,2016/09/01,Walter D. Pullen,Fantasy,NetHack
Drain Storm,http://roguebasin.roguelikedevelopment.org/index.php?title=Drain Storm,,1997/00/00,2001/01/30,Dave Horner,Fantasy,
Dungeon Crawl Stone Soup,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeon Crawl Stone Soup,http://crawl.develz.org/,2006/09/20,2017/07/02,Stone Soup Team,Fantasy,Crawl
Dungeon Fray,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeon Fray,http://www.dungeonfray.com/,2013/03/09,2013/03/17,Nitesh Gupta,Fantasy,"DCSS, Desktop Dungeons"
Dungeon Hack,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeon Hack,http://free-game-downloads.mosw.com/abandonware/pc/role_playing_games/games_d_f/dungeon_hack.html,1993/00/00,1993/00/00,DreamForge,Fantasy,
Dungeon Monkey Unlimited,http://roguebasin.roguelikedevelopment.org/index.php?title=Dungeon Monkey Unlimited,http://www.gearheadrpg.com/,2010/00/00,1000/00/00,Joseph Hewitt,Fantasy,Dungeon Monkey
