Game,Text
Dragon Quest: Shonen Yangus to Fushigi no Dungeon,"This article was sourced from Creative Commons Attribution-ShareAlike License; additional terms may apply. World Heritage Encyclopedia content is assembled from numerous content providers, Open Access Publishing, and in compliance with The Fair Access to Science and Technology Research Act (FASTR), Wikimedia Foundation, Inc., Public Library of Science, The Encyclopedia of Life, Open Book Publishers (OBP), PubMed, U.S. National Library of Medicine, National Center for Biotechnology Information, U.S. National Library of Medicine, National Institutes of Health (NIH), U.S. Department of Health & Human Services, and USA.gov, which sources content from all federal, state, local, tribal, and territorial government publication portals (.gov, .mil, .edu). Funding for USA.gov and content contributors is made possible from the U.S. Congress, E-Government Act of 2002. Crowd sourced content that is contributed to World Heritage Encyclopedia is peer reviewed and edited by our editorial staff to ensure quality scholarly research articles. By using this site, you agree to the Terms of Use and Privacy Policy. World Heritage Encyclopedia is a registered trademark of the World Public Library Association, a non-profit organization. 2014 © World Heritage Encyclopedia. All rights reserved. "
Azure Dreams,Gameboy Color Game release list with screenshots and rom information Posted on 30.05.2008. 15:34 | * = required field Scene news and latest releases. GBColor.com Nintendo™ Game Boy COLOR rom Archive © All Rights Reserved 1998 - 2008 
Z.H.P. Unlosing Ranger VS Darkdeath Evilman,
Final Fantasy Fables: Chocobo's Dungeon,"There are also some unreleased tracks that can only be heard in the game: While searching for the oracle, Chocobo encounters Raffaello, who had visited the fountain prior to its current state. The boy runs back to the farm, leaving Chocobo to follow him. Near Stella's house, Chocobo overhears Raffaello asking Shirma why he was different from everyone else. After a brief reassurance from the white mage, the boy leaves to play some more. At the farmhouse, Raffaello explains that he feels something evil growing inside of him. Though everyone tries to help his situation, he apologizes and runs away. Shirma chases after him and suddenly collapses. As this happens, the light in the sky suddenly disappears. Stella tells Shirma to rest, but the girl told her that if she goes to sleep, she will have another nightmare. After going to sleep, Chocobo enters the nightmare and defeats it. Afterward, Freja stops by the house and informs the others that the sun has disappeared, suggesting that the oracle of light is losing their power. Stella immediately knows who it is and continues to watch over Shirma's health. Chocobo, on the other hand, finds Raffaello at the town piazza and is able to cheer him up. Cid finishes the airship he has been working on, but it is missing a power source- Timeless Power. He reminds himself that Irma has the item he needs. At this time, Volg, who had been searching for Irma, enters the garage with an idea of where she might be. He leads Chocobo to a strange woman named Amouri, who is enamored to see an adorable bird. After Chocobo restores her memories, it is revealed that Amouri is really Irma, who had lost all memory when she arrived in Lostime. Realizing that she was acting against her personality, she insists that she would prefer to be left alone. Back at the farmhouse, Shirma experiences another nightmare. Once Chocobo clears it, Shirma remembers that she is the Oracle of Light and that she has a sister named Croma. After light returns to Lostime, Shirma takes her staff to the clocktower, knowing that it is actually a missing hand from the face. Once it is back where it belongs, Raffaello is able to open the door to the clocktower. He tells Shirma and Chocobo that he has to go inside, much to his dismay and uncertainty about his future. Chocobo marches in after him. About halfway up the tower, Chocobo encounters Croma again, who, after a battle, informs him that Raffaello is not on Chocobo's side, something he does not believe. Cid and Chocobo meet with Mayor Gale in his house to discuss the events that happened. Mayor Gale explains that the kinder Raffaello is still alive, but has a limited amount of time before he, too, is absorbed by the Destroyer. They could reach the fortress with the airship, but without a power source- Timeless Power, they can do nothing. Irma, overhearing the conversation, gives Cid the treasure, saying that it was payback for being used as a pawn. With Timeless Power in hand, Cid is able to complete the airship. However, Chocobo shoves Cid aside and boards the airship on a mission not to defeat the Destroyer, but to save Raffaello. As Chocobo enters the fortress, Raffaello attempts to fight off the Destroyer's hold over him. Once Chocobo arrives, the Destroyer takes complete control and overwhelms Chocobo until he receives the Oracles' powers and defeats the Destroyer in his true form. With the Destroyer destroyed, Memoria returns to the rest of the world and the Floating Fortress begins to crumble. Upon collapse, Chocobo falls out, only to be saved by Cid's airship piloted by Raffaello, now free of his previous self and as a human child with Croma by his side. As of now, all is at peace, the town has been renamed Foundtime, and Raffaello leaves to parts unknown to atone for his sins. "
FTL: Faster Than Light,"By Daniel Wallace FTL: Faster Than Light is an addictive indie roguelike developed by Subset Games. Following its incredibly successful Kickstarter origins – in which over 1000% of the original $10,000 goal was pledged by over 4,000 backers – the game is now available directly from the game’s website or via Steam. FTL focuses on intergalactic exploration, space ship combat, diplomacy and the difficult roguelike experience. For the uninitiated, roguelikes are games defined by the aforementioned tricky gameplay, randomly generated universes and dreaded permanent death. You are the captain and it is your responsibility to guide your ship, crew and precious cargo to the Federation – all the while piloting through the dangers of space, fighting off pirates and avoiding the Rebel fleet. You will also have the opportunity to forge allegiances with the galaxy’s variety of races; the Rock Men, Engies, Zoltans, Slugs and Mantises, each with their own specific traits and perks. As captain, your crew is relying on you constantly for direction. Who will man the guns? Who will pilot the ship? Should full power go to the engines or the shields? Each of these decisions has their own bonuses when in combat with other ships. For example, assign a crew member to weapons and they will recharge faster after use, meaning you can keep up the pressure with faster attacks. Likewise, keep a crew member in their respective area for long enough and they will eventually be promoted, further increasing these bonuses. This also makes it that much more painful to lose any of your crew. Take one missile too many to your engines and the Engi manning your shields will die, meaning you will have to shuffle around any remaining crew members – and desperately hope for a replacement. When ‘jumping’ into a node your ship may come across another, whose intentions will become clear shortly after. The crew may want to trade, they may even need help (through one of the game’s numerous quests or in the form of a distress call) or they may simply want to destroy you – in which case you will have to deal with them accordingly. FTL’s combat is reliant on both strategy and blind luck; the latter of which can be incredibly maddening at times. Picture the scene: after a long, drawn out battle with a Mantis pirate ship, your ship is bruised but not out for the count, your hull scarred but not destroyed. Your crew fought the fires bravely and did their best to patch up the ship’s systems. You jump to a new node and there’s yet another ship lying in wait. No – wait. That’s no ordinary pirate – this is a behemoth of a ship. Three shields, two missile systems, a pair of lasers and drones ready to tear away your shields and destroy what remains of your hull. In short, you’re in trouble. You target their shields – without them you will be able to slowly take down their weapons and drone systems. Your first volley of shots all miss and the shields are still up. Okay, no big deal, you can get them once the guns are recharged… But you miss again, again and again. Meanwhile, the monstrosity you stumbled into is tearing away at your precious ship that you have guided so carefully until now, every single shot finding its mark. Your crew members start dying from the fires eating away at your ship from the inside and your systems go offline. All hope lost, your ship explodes. Game over. Throughout your journey to the Federation fleet, you will come across a vast variety of multiple choice events. These events can have any number of repercussions depending on the choices you make. One such event sees you coming across a marooned crew member of some long-crashed ship on an isolated planet. You can decide between leaving him/her/it alone on the planet, or offering them a place on your crew. Bring them aboard and you can put them to work. However, what’s to say they are safe? Who knows how long they were left down there? They may have gone mad and attack the moment they are off that rock! The only way to know is to take a gamble. There are also special ‘blue’ options available depending on your crew and how you have equipped your ship. These options will always be far more beneficial than a standard choice, usually offering bonus materials but sometimes even unlocking a new ship. True to its roguelike nature, FTL generates the galaxy randomly every time you play. You may have to travel through nebulae, pirate controlled sectors, each of the race’s homeworlds or some other type of alien space. Each individual sector generates randomly each time, and whilst exploring them there are a number of environmental hazards you may be unfortunate enough to fall foul of. Asteroid fields that will eat away at your ship (and thankfully, any other ship you may be locked in battle with), solar flares that ignite the interiors of any ship foolhardy enough to remain too close and ion storms that cut your ship’s available power in half. These hazards all encourage tactical play – especially the latter – but also generally infuriate; when in an ion storm without sufficient power, you usually have to decide which of your systems to power. Oxygen or shields, engines or drones; either way these fights are usually the trickiest in the game. The most aggravating aspect of ion storms is the apparent immunity given to AI ships inside them. While your own reactor’s power is cut in half the same is never true of the enemy ship, often creating a scenario where a fully shielded hostile ship tears your hull apart with multiple weapons and drones while you struggle to manage your meagre power reserves between oxygen or engines. This is not the only aspect of the game where it can feel as though something is missing. Throughout your journey you will come across a number of stores, each allowing you to trade ‘scrap’ for a variety of goods. Anything from new crew members, new weapons and augmentations that will improve your ship. While you can buy supplies from these vendors, you can only sell a selection of your excess resources. On occasion this can be disappointing, especially when you are only ten scrap short of that awesome upgrade you have been looking for while carrying more missiles than you will ever fire. At first FTL is a surprisingly fun game. You will fail your mission a few times and maybe unlock a new ship. You will learn a few strategies and understand what to prioritise on your journey. Eventually this initial excitement will wear off, probably after your ship is torn apart yet again after falling on the wrong side of the random number generator a few times too many. Fortunately, the game stays interesting through the randomly generated galaxy and by offering new ships to campaign with. For some reason you will still find yourself going back for more, albeit in smaller, more sporadic doses. Eventually you may even win a campaign, and in doing so rediscover that initial excitement. While being far from perfect, FTL remains entertaining for those able to shrug off many, many defeats. 7 OUT OF 10 Leave a comment Fill in your details below or click an icon to log in: Connecting to %s © 2009-2013 Martin Mulrooney and Alternative Magazine Online. Unauthorized use and/or duplication of any original material without express and written permission from that material’s author and/or owner is strictly prohibited. Excerpts and links may be used, provided that full and clear credit is given with appropriate and specific direction to the original content. "
Torneko: The Last Hope,
Dungeon of Doom,
Dungeon Hack,"Thursday, Dec  1, 2011 GameSetWatch.com is the alt.video game weblog and sister site of Gamasutra.com. It is dedicated to collecting curious links and media for offbeat and oft-ignored games from consoles old and new, as well as from the digital download, iOS, and indie spaces. Read More November 25, 2009 12:00 PM | I mentioned way back in some of the earliest columns that Rogue's inspiration was likely the hack-and-slash play of old-school D&D mixed with the thinking (if not the actual geomorphs) behind the random dungeon generation tables in the 1st Edition AD&D Dungeon Master's Guide. Perhaps partly due to these roots, Dungeon Hack is actually a fairly good game.  It's not nearly as complex as Nethack, but that fact works in the game's favor as much as argue against it.  However, some superficial aspects of the game may cause one to conclude that it does not deserve to be called by the term 'roguelike.' 'It is strong magic that can point to maps!' The object of Dungeon Hack (explained in a pretty cool, for a DOS game, animated opening cutscene) is to obtain a mystic orb from the bottom of a large dungeon.  Along the way are many monsters, traps, magic items (some of them cursed), tunnels to explore and map, and puzzles to solve.  All of this is per roguelike normal.  We'll come back to those shortly. Monsters roam the halls step-by-step, much like in the later classic Might & Magic games, although in this game they do so in real-time.  So long as the player has seen a square of the dungeon himself, any monsters it contains will appear on the automap as a red dot, a feature which makes both exploring and avoiding trouble much easier. Even though the main view window is a directional, 1st person perspective, and combat relies on the player's facing, the useful automap, the turn-based (though still real-time) movement, the fact that combat does not take place in its own mode but in the same as exploration, and the variety of actions possible during that combat, helps to keep the game's roguelikeness intact. Dungeon Hack solves the problem nicely.  It allows players to select from an extensive roster of pre-made characters that cover all the fantasy archetypes and then some.  It also lets the player make a character using a well-developed creation interface, allowing for extensive rerolling and locking aspects like stats, class, race and alignment,  When one of these things is locked, other items gray out to show incompatible options. How do you want your maze of twisty passages all alike? If this looks daunting to you, keep in mind this screen only appears if the player choses 'custom' on a difficulty selection screen.  Setting Easy either there or here automatically puts all the sliders to their easiest settings.  Setting Medium puts them all in the middle, and Hard puts them all at maximum pain levels.  Notice some of the setting names.  'Water level' means a flooded dungeon level that may appear midway through the dungeon.  On it, the player takes a small amount of damage each turn unless he has some means of water breathing, either by potion, Ioun stone or spell. Magical zones are special regions of the dungeon that have unusual properties, such as anti-magic.  Magical traps means things like statues that periodically emit a burst of magic missiles, which must be evaded through good timing.  Through this screen, many game features a player finds personally annoying can be disabled without changing the rest of the play experience. Note the dungeon seed readout at the bottom.  In this number is encoded both the complete set of options chosen by the player, and a random number seed that can be used to recreate a dungeon at a later time.  This system, combined with the permanent death option (which erases saves when the player's character dies), would actually make tournament play feasible. The special powers of many roguelike monsters can be traced back to similar powers found in the D&D Monster Manuals, and some of them retain those powers in Dungeon Hack.  One monster that has caused a lot of consternation among players is the Living Muck, a pudding-like beast that consumes weapons used against it.  And level-draining undead monsters are so dangerous in this game that a special dungeon generation option exists to disable them.  These powers are what make facing roguelike monsters more than simple bags of statistics, and their inclusion here, in a style of game where monsters are expected to have sharper teeth than in a traditional CRPG, is welcome. The 2nd Edition D&D Class Reunion Fighters must make use of magic items to get through all environmental obstacles, either that or just eat the damage.  They can demolish most low-level monsters with a single hit, though, so it makes sense as a trade-off.  I have yet to try to get one through a water level however; it is possible that the class becomes unplayable at that point. They may also have a backstabbing ability, but I am not sure.  They are a challenging class to play.  As per the RPG archetype, mages are physically weak and have very few hit points, but have magic spells with a wide array of combat and utility applications.  Being a more-or-less by-the-book classic Dungeons & Dragons game, the magic system used in Dungeon Hack is strictly Vancian, that is, you set up camp, decide which spells to memorize, then click rest and they are regained. Under the standard 2nd Edition D&D system, hit points regained through rest were quite low, requiring many days to heal a seriously wounded character.  Dungeon Hack uses this system, and it is startling to see the game report '130 hours' as a typical time to get back to maximum health.  But as a nod to playability, so long as the player doesn't rest too close to a presently-active monster he will almost certainly be able to rest as long as he needs to heal. Since monsters are not a credible limit on healing through rest, the game instead uses the traditional roguelike check on health regaining: a food requirement.  New adventurers begin with two rations, and more are found in the dungeon.  Food actually doesn't seem to decrease much (if at all) through mere exploration; it is almost entirely a check on spell replenishment and healing.  Because of the food consumption needed to regain hit points the normal way, a popular creation choice is to multiclass Cleric. The Environmental Persecution Agency Dudgeons & Drag-ons There are a few weirdnesses that should be addressed.  It is possible to outrun your own thrown items simply by running rapidly down a corridor, and thus get hurt by them.  It sucks to accidentally do this with a thrown potion with a damaging effect.  (Hint: nearly anything can be thrown by dragging it to the view window.)  Many magic items must be used by putting them in your hand and then clicking on the hand, which seems needlessly obtuse even though it does help to keep cursed items, which make it impossible to empty a hand, appropriately troublesome.  (So you know: the Scrying Mirror item, which identifies objects, is used by putting it in one hand, the item you want to identify in the other, then clicking on the hand with the mirror.  Spells are cast by making sure that your spellbook is the only thing held-- it works like a two-handed weapon --then the spell you want to use.  And yet, thieves' picks are used by dragging them over the lock you want to pick.) And the keypad controls make it easy to get mixed up a bit in the heat of a hurried escape, turning your character around when you mean to side-step or vice-versa.  Movement and some actions can be performed easily with the keyboard, but attacks, equipping and item use require the use of the mouse, causing a bit of manual confusion that can be frustrating for a game that isn't actually trying to be an action game. To Be Continued.... Does Dungeon Hack deserve to be called roguelike?  We will have a look at that question soon, when we cover one of the most useful tools for defining roguelike games there is: the Berlin Interpretation.  Next time. Tags: 'pretty cool, for a DOS game, animated opening cutscene' Whats the connection here ? What could possibly stop a DOS game from having a quality intro ? Trivia: Dungeon Hack uses the AESOP game engine; Eye of the Beholder 3 uses it too, though a slightly different version. Also, IIRC, the Dungeon Hack dungeons are generated by an external exe which simply outputs a text-file which in turn is read by the main game... Really?  Maybe I can catch that file during generation and have a look at it.  Thanks, paxed! Hm, my bad, I misremembered; MAZE.EXE outputs binary data blobs (plus one text file) I remember this game!  I recall the Gauntlets of Ogre Strength being kinda game breaking. Obligatory random notes: From the original demo the dungeon generation originally looked like it was much more like your standard roguelike, with pre-built rooms and random generation of paths between them; along with lots of 'empty' space so that even at the end of the level the secret rooms might be missed. By the look of things they must have ran out of time and just went with some sort of flood-fill maze algorithm. There's actually a rather large bug produced by the fact they had a seperate maze generation program to the main game (separated, I presume because the original bytecode interpreted mazegen was too slow). The game has a hard limit of something like 2048 unique object identifiers, so if you had the level generator set to maximum number of dungeon levels, keys, food, items and so forth, you'd run out of stuff around level 17 (from memory). So you'd have locked doors, but no keys to open them. No magic items would be dropped around the place, and so forth. Also I believe the maze algorithm actually built the dungeon from exit to entrance. That way it could place a key-locked door, then record the key in a list so that it could remember to place it later on. This is the reason why you'll find that if you've set keys to 'maximum', you'll find a pile of keys in the first few areas, often three of four right at the stair entrance! It minimises the problems of making a dungeon that was technically incompleteable due to door keys being behind door locks. Though this was still possible if you had a large number of keys being generated. Since there was only a small number of possible varitions, if there were more then one of the same key on the level you could unlock the 'wrong' door with it, leaving one key locked behind it's lock. I only ever saw this once or twice in all my gameplay though, and there was a walk through walls cheat anyway that you could use to get around that. I can't ever recall actually completing the game as anything other then a pure cleric or multi-class cleric-something. Fighters had problems with the lack of identification mirrors and easy healing so they'd chew up all the food even on the more generous settings. Thieves weren't too bad, at least they could identify magic items, but still just went through food like it was going out of style. Mages did get the ability to create food, though this was at a rather high level, and I found the fight-cast-sleep cycle got pretty boring before you got to that stage anyway. Clerics didn't have a problem with non-identified cursed items due to the remove curse spell, had plenty of healing spells so never really needed food (and even then they got create food soon enough anyway!), could wear most of the armour and actually do decent damage with weapons. Not to mention Spiritual Hammer is totally the overkill spell in the game anyway since once you get it you don't use anything else other then a pair of them from then on! :) "
Brogue,"Roguelike Radio is a podcast about roguelikes. A typical episode is dedicated to a single roguelike game, mechanic, or feature. Every episode features at least two panelists that discuss the topic of the week. Episode topics can be requested by listeners. "
Larn,
